epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,9.340937835172658,4.217320110680606,5.271327947790445,12.691783602848213,-0.022798073819195318,-0.04728099907333316,3639
2,4.565278993516011,4.430709368188684,5.694234527825539,12.555092436003608,-2.3481586002392834,-0.22206372489807347,3639
3,4.309698244938157,3.5126303756390995,4.507538953579319,10.428710082109397,-0.5086908238246631,0.23422333343162105,3639
4,3.606704688567436,3.114988400406089,3.858796316828382,9.530670885755455,0.9348355691883059,0.4387881110541474,3639
5,3.349097499507825,3.453853658019399,4.292855249079389,9.958931892004397,-2.143342451854013,0.3054306072481018,3639
6,3.105719696520344,2.708862160024619,3.4456386183290366,7.868444388796676,-1.2420597815454646,0.5525313592922343,3639
7,2.9781282174481127,2.411864407804845,3.087856483927678,7.338925022626347,0.20436964011447842,0.6406336849097742,3639
8,2.818252236977529,2.662100018037155,3.416092473738317,7.787828323677316,-1.2871700411610763,0.5601724906413036,3639
9,2.9754248273832506,3.3828740440970364,4.206878155795322,9.60267148376718,-2.558189883209841,0.33297360550973887,3639
10,2.794092499891445,2.9314175359689787,3.695397629756293,8.61210327388654,-1.167073667295099,0.48531026835599234,3639
11,2.749376217760035,3.1206507089210755,4.086930502273427,8.914490941487434,-1.3381575578908143,0.37046822239053134,3639
12,2.6878243076341444,2.7172441055369134,3.4854157090790983,7.743923168415923,-1.5510868042109596,0.5421404041204057,3639
13,2.663445965118861,3.3025184336780486,4.088254513450263,9.362900179893122,-2.869962525583945,0.3700602672654413,3639
14,2.5908850258111245,3.4997983551444705,4.240586452144678,10.01598939261965,-3.0976043207431174,0.3222414653365614,3639
15,2.544357392129983,2.37984917209056,3.0711385945845744,6.981869377770628,-0.9305883482544918,0.6445144240909044,3639
16,2.5120821993145817,2.774138700375684,3.5031969115269415,7.8707183963025,-2.1650627290327886,0.5374568531938744,3639
17,2.50841312963814,2.8427059564593073,3.5866695508130535,8.045065111588169,-2.0774693794386767,0.5151516926796327,3639
18,2.4829534518612597,2.924878361265094,3.6501383831239678,8.473124347015535,-2.2738096457845924,0.49784035185103603,3639
19,2.4509503363855516,2.7492246342150843,3.472058572796728,7.859213260129591,-2.094466657814137,0.5456429845666191,3639
20,2.4302607488207717,2.975400524238991,3.652516949992122,8.495745708456838,-2.4902449809905427,0.4971856865530654,3639
21,2.406503572662082,2.900646563249815,3.596010603649021,8.452162237494662,-2.3109846848909523,0.5126229449354534,3639
22,2.356423735972328,2.3831013398826957,3.0234855464577635,6.891998383246056,-1.5296538919824663,0.6554605582120719,3639
23,2.2878421799719155,2.052147066242651,2.6457119054180707,6.232196076909209,-0.13012732893400514,0.7361796723994601,3639
24,2.137143796204813,1.7979902758576052,2.3820704397710566,5.341950000668418,-0.056063684797378714,0.7861386265308548,3639
25,2.0471454186680056,1.5988332602177782,2.2155357930737365,4.676897825220844,-0.9707401309179782,0.8149961810615809,3639
26,1.913763103923741,2.231300786682196,2.802498180772205,6.697984239887424,-0.11680621241239048,0.7039849235878385,3639
27,1.8624735955668485,1.764916401375909,2.330690874711364,5.122057397726516,-1.3728922178012128,0.7952648063220354,3639
28,1.7483415182690947,1.7296294117733881,2.4117825395448045,5.132794875413994,-0.8507608915299103,0.7807702717743525,3639
