epoch,train_loss,val_accuracy,val_macro_f1
1,0.5045712931250481,0.9681231107447101,0.9464075425280097
2,0.15765749208662344,0.9782907392140698,0.9542960226500289
3,0.10236203301155505,0.9769167353668591,0.9561610840518683
4,0.07604975788473507,0.9810387469084914,0.9543239324014067
5,0.06024547876066419,0.9810387469084914,0.9562871477221121
6,0.05992385111043415,0.9843363561417972,0.9474077761971393
7,0.031782413553654104,0.9802143446001649,0.9625845050549577
8,0.037383539422261594,0.9837867546029129,0.9664689611998452
9,0.02626752644607086,0.9782907392140698,0.9425444826740618
10,0.030211735931937798,0.9774663369057434,0.9432419597970243
11,0.026046004278580472,0.9788403407529541,0.9499560642608046
12,0.024401380465660705,0.9804891453696071,0.9369806567842307
13,0.020729580453446864,0.9788403407529541,0.9390199358246936
14,0.020774417581298926,0.9824127507557021,0.9549124914789816
15,0.020570366532273,0.9868095630667766,0.9681403534569014
16,0.013509689096247578,0.9793899422918384,0.9691165309026625
17,0.01122580146713509,0.9868095630667766,0.9771503497289041
18,0.028150427310964864,0.9810387469084914,0.9666652063876416
19,0.01210901914061501,0.9868095630667766,0.9627862820803054
20,0.008961203366127605,0.9694971145919209,0.9594048480439438
21,0.017369311288153798,0.9865347622973344,0.9604674327288033
22,0.011972206618247988,0.9854355592195658,0.9770167590300521
23,0.012062370791119858,0.985710359989008,0.9721360897766517
24,0.014986180666738805,0.9870843638362188,0.9748591812385435
25,0.011721094778426169,0.9821379499862599,0.9733283028013346
26,0.010624802657869664,0.9799395438307227,0.9668549404593776
27,0.00837446061183697,0.9848859576806815,0.9645459964022984
28,0.014448461077987482,0.9846111569112393,0.9621559502578503
29,0.012996842451673832,0.9788403407529541,0.954159611060709
30,0.008935263872708444,0.9851607584501236,0.9689182397462751
31,0.007485646595426816,0.9791151415223963,0.9668856595200515
32,0.008233109448519555,0.9832371530640286,0.9545313953737203
33,0.007766977831019268,0.9868095630667766,0.9694532542292646
34,0.008932476202234018,0.9848859576806815,0.9712932324773341
35,0.007867456689708069,0.9846111569112393,0.9652281215686338
36,0.01037383158919993,0.9848859576806815,0.9665648127459409
37,0.0072323814848644875,0.9846111569112393,0.9642943640759345
38,0.006365700713508231,0.9826875515251443,0.9635711582381482
39,0.01024583173800453,0.9766419345974169,0.9563258162270432
40,0.00868662833524169,0.9881835669139873,0.9680842518456079
41,0.012813650705294144,0.9832371530640286,0.9688443157079834
42,0.004894786565808691,0.9840615553723551,0.9611332783716785
43,0.005556077209431698,0.9859851607584501,0.9627088140054534
44,0.0036931962930919497,0.9824127507557021,0.9688910714048761
45,0.011853057568236854,0.9835119538334708,0.9578037546219809
46,0.004014913392290778,0.9826875515251443,0.967277780698835
47,0.0055187700536042765,0.9840615553723551,0.9628482383045524
48,0.005970365044779444,0.9848859576806815,0.9706857686785818
49,0.006085355717212975,0.9675735092058257,0.9557355313709915
50,0.010697840541855201,0.9879087661445453,0.9642009071550592
51,0.006010727915500267,0.985710359989008,0.9608315382908293
52,0.0006243121921110379,0.9862599615278923,0.9620835535758507
53,0.0005597270733874934,0.985710359989008,0.9588373380859744
54,0.008543105878412423,0.9848859576806815,0.9674812522837237
55,0.010673463681462705,0.9865347622973344,0.9639923634679304
56,0.006655665023226551,0.9859851607584501,0.9693142614942499
57,0.007978039358677646,0.9837867546029129,0.9490467464690974
58,0.001549881513925589,0.9851607584501236,0.9564424578804307
59,0.006423729545366515,0.9799395438307227,0.9501661962224187
60,0.008487827081398589,0.9854355592195658,0.9688705044692439
