epoch,train_loss,val_accuracy,val_macro_f1
1,0.3198773965383444,0.9826875515251443,0.9447454230506415
2,0.0639524867365145,0.9653751030502885,0.9390648002987797
3,0.04903194750486188,0.9851607584501236,0.9717710089016486
4,0.02905660261570256,0.985710359989008,0.9755086415835608
5,0.02271596541217242,0.9782907392140698,0.9705107213399591
6,0.024911787624354646,0.9799395438307227,0.9442913590098903
7,0.033079005246442285,0.9865347622973344,0.9699896399590762
8,0.020037235091817474,0.9824127507557021,0.9620848713478652
9,0.019011211288587106,0.9824127507557021,0.963583301536754
10,0.010606997806613816,0.9870843638362188,0.9678503189300363
11,0.01790566729861872,0.9854355592195658,0.9805701623531086
12,0.014055197524757194,0.9868095630667766,0.985383434024364
13,0.018797253880993688,0.9873591646056609,0.9539624082423712
14,0.013296477939062759,0.9807639461390492,0.948484549676565
15,0.017839007114024242,0.9879087661445453,0.9639235633830694
16,0.011713750222780884,0.985710359989008,0.9578083314873876
17,0.008070542384483913,0.9810387469084914,0.946684057620187
18,0.008970627171488376,0.9881835669139873,0.9644179868092196
19,0.010510350431408664,0.9898323715306403,0.9819631791370973
20,0.014449212695133768,0.9876339653751031,0.9778297963227843
21,0.011590397971136326,0.9804891453696071,0.9654312953147672
22,0.011036687270134658,0.989282769991756,0.9609175685612037
23,0.0028116839332026043,0.9887331684528716,0.959035111700466
24,0.013294307590422655,0.9881835669139873,0.9558257162961136
25,0.017746504360209595,0.9846111569112393,0.9526435766238187
26,0.011843540676431208,0.9876339653751031,0.9638966625266583
27,0.0024001563880061538,0.9879087661445453,0.9603784458380383
28,0.012600120155230361,0.989282769991756,0.9675300553586762
29,0.006638127204063964,0.9873591646056609,0.962378055629201
30,0.013240430016335004,0.9821379499862599,0.9491826190793536
31,0.012148109717965042,0.9879087661445453,0.9840057076007028
32,0.002101093126768987,0.9835119538334708,0.98329804093695
33,0.012826678343387517,0.9868095630667766,0.974363611204262
34,0.006004143687927999,0.9873591646056609,0.9682513214891345
35,0.014939481819222023,0.9829623522945864,0.944367025237533
36,0.006327598386652246,0.9890079692223138,0.9661427644269734
37,0.0022191920948793358,0.985710359989008,0.9635595602811746
38,0.014063113649361206,0.9862599615278923,0.9738617277716094
39,0.003877508898885273,0.9876339653751031,0.9713642100607643
40,0.008544226156863007,0.9689475130530365,0.9434336244908749
41,0.005988056983097828,0.9843363561417972,0.9632932171750411
42,0.008437448799716996,0.9843363561417972,0.9760662388463904
43,0.0075501933981507756,0.9848859576806815,0.9647060791873038
44,0.0111524948421198,0.9799395438307227,0.9594221699800325
45,0.005117098352328722,0.9796647430612806,0.9533277597508981
46,0.005426720706102065,0.9793899422918384,0.9546159508135251
47,0.005861353643671123,0.9826875515251443,0.9541196202185906
48,0.0024895829564260726,0.9837867546029129,0.9467627083592612
49,0.005678045287708028,0.9771915361363012,0.9609308446610457
50,0.011946403213080535,0.9829623522945864,0.9524239799658076
51,0.006576847444406016,0.9815883484473756,0.9546342503182836
52,0.005620987521087333,0.9840615553723551,0.966416357969799
53,0.00931008973543646,0.9859851607584501,0.955522636764358
54,0.004212432111358135,0.9881835669139873,0.9878007908262664
55,0.00040544502570017164,0.985710359989008,0.9846855803875613
56,0.01023069890592548,0.9780159384446276,0.974332263487098
57,0.010006698860132474,0.9873591646056609,0.9764177510032843
58,0.0022681820677973212,0.9876339653751031,0.9845475880139658
59,0.005976915706853774,0.985710359989008,0.9807033486318767
60,0.007568681629568231,0.9813135476779336,0.9625098748036118
