epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,18.03730604839608,3.141915141831849,4.091390962934473,9.424035244764886,-0.2879412395019196,0.36909333527237087,3639
2,2.7979167682127004,2.597536983841165,3.3682591739224357,7.534472452133387,-1.2030461964681929,0.5724034872110675,3639
3,2.4068108588368675,2.659958342268887,3.3693156700557374,7.7431715449324106,-1.2617554278057923,0.5721352032767453,3639
4,2.2928761357015954,2.29032840398551,2.9724011624524427,6.746079007249667,-0.5698832988607978,0.6670047818459612,3639
5,2.1772106408365404,2.3206722205010832,3.01456658380632,6.7937324451170875,-0.6782755394432695,0.6574902699142235,3639
6,2.093729419595056,2.374939075437474,3.0890387989410497,7.066676111556265,-0.22169457257662084,0.6403584353739327,3639
7,2.0299258596465566,2.364814422326482,3.0650123178077493,6.891269072477259,-0.7164456403396325,0.6459312477419734,3639
8,1.973685475060777,2.1411721097731795,2.787466529993523,6.306505378304783,-0.5865153233799905,0.707151856735964,3639
9,1.9373160568825922,2.2886569926489115,2.9621606160621323,6.630729637847475,-1.01108731591921,0.6692953063201428,3639
10,1.849688089035385,2.3018917566998116,2.9846938049023164,6.71566767050489,-0.8279711342539293,0.6642448209721081,3639
11,1.8398648677310887,2.271679483818857,2.9164415906610937,6.616726498989929,-0.952192591651189,0.6794249504765901,3639
12,1.8160588224846814,2.241141656559553,2.888034447033389,6.514557107855076,-0.9961727212568862,0.685639558506109,3639
13,1.7768643758417237,2.293624602231589,2.9455348397710837,6.611990355955083,-1.2462125213698523,0.6729971935415793,3639
14,1.714551029290219,2.2884641575531566,2.9881912324773836,6.650289768978874,-0.832980502664011,0.6634574923538208,3639
15,1.7255159467900896,2.0690371986927976,2.677095902797014,6.175759889783118,-0.031127106262190257,0.7298835640057639,3639
16,1.6650200395980292,2.182015963850784,2.8241437074514297,6.421142286901055,-0.5871302522647247,0.6993946287163116,3639
17,1.6229492997203454,2.1643993108277138,2.8131924685042615,6.3665387560623055,-0.44819767850544073,0.7017214356073909,3639
18,1.6475182136725248,2.1934951709895123,2.8595029994772942,6.374337691168215,-0.8462816617357171,0.6918201318985011,3639
19,1.6012335355982228,2.4077449760845844,3.122457917365361,6.854121654819159,-1.6281560602735838,0.632534695520301,3639
20,1.601119859812875,2.23534136691176,2.8571553764425492,6.469415625913927,-1.2531916185144738,0.6923259492858458,3639
21,1.559149669079823,2.2235919672501354,2.864567851432076,6.445324826061034,-1.0164998854605436,0.6907274470821958,3639
22,1.5709633666259244,2.0904085206998575,2.6984888438077066,6.164430953564224,-0.42792558211420684,0.7255492601055259,3639
23,1.5483585845469015,2.0576377322497557,2.6578489655584057,6.1008132780511755,-0.30618203266140653,0.7337535974486029,3639
24,1.5197035443888927,1.9495399136502654,2.5259562960849977,5.806277901502773,-0.04476974678091965,0.7595222962104853,3639
25,1.5040191045854494,1.9347236085049428,2.522559723904878,5.733553916294035,-0.23967290219450824,0.7601685866610637,3639
26,1.4623653954143694,1.9880926122243472,2.588291880810767,5.928346772513848,-0.24331845500764693,0.7475068199771109,3639
27,1.4244944120726883,2.00480285900312,2.600389409730487,5.951638561017776,-0.12189603251525091,0.7451410265738302,3639
28,1.4465627353693682,2.1545498835644117,2.780025316934798,6.313118545827632,-0.6441056932122801,0.7087133009809723,3639
29,1.4557624165665148,2.0345392801107107,2.625369207220129,5.984429984143891,-0.598136332114341,0.7402210684002926,3639
30,1.4173565234557812,1.906446807035282,2.4842072309188326,5.727402875751053,0.17575336098834754,0.7674058458848657,3639
31,1.4179456838868139,2.0505234502638787,2.6481348411518186,5.9800613769180275,-0.9188093335853235,0.7356962392671151,3639
32,1.3526870859482876,1.9874127711133336,2.5656363534655062,5.855331842655147,-0.5510507176360706,0.7519076611448922,3639
33,1.4066067076224602,1.9808521852548322,2.5534542672227007,5.859723162863137,-0.3537473466311814,0.7542580387453105,3639
34,1.3890626319084394,2.0134863867868464,2.6060094649161094,5.847966995854694,-0.9444514958863076,0.744038215370074,3639
35,1.401315858880561,1.9622382850363937,2.533559865990885,5.844407079803539,-0.19625507563344396,0.7580723573733157,3639
36,1.3516140231746594,1.9892560927937992,2.5506878382336184,5.827801020714438,-0.6995842895130431,0.7547902271845546,3639
37,1.2978318995113542,1.9257952681476187,2.499170238958654,5.716780262458516,-0.29778791974291235,0.7645954607104255,3639
38,1.317650447790276,1.9912592229295412,2.581870192215649,5.806262239672149,-0.786116770120334,0.7487581635034417,3639
39,1.308887782542571,1.867325526733063,2.4159347996397074,5.55892237406887,-0.14514938348202497,0.7800147455625404,3639
40,1.3048509847516476,1.904867723637408,2.475648569308341,5.5676699233677205,-0.7160146246247319,0.7690057651137513,3639
41,1.2822441998150653,2.0960584306625196,2.7063056019295826,6.07422894664544,-1.0648084096968846,0.7239569450287454,3639
42,1.2729595082449985,1.8614897008582962,2.410108873002899,5.477304792418181,-0.5057021945870555,0.7810744369659963,3639
43,1.2588751814839394,2.0878091383910697,2.6770877190763347,6.046518330757764,-1.0666154928016085,0.7298852154625399,3639
44,1.264950623674987,1.8722203693143546,2.414858033168586,5.498468516168268,-0.5362928908878252,0.7802107938663534,3639
45,1.28182046243628,2.0409527375299086,2.667867094403528,5.9152729392812065,-0.8127736298387344,0.7317427099537378,3639
46,1.2643863012245926,1.8538900612802025,2.3876917551175363,5.5250608910890495,-0.21761059374493472,0.7851280764799111,3639
47,1.2640652476149425,1.8525739477440104,2.4088482665608066,5.45136269488201,-0.4610598507278665,0.7813033949212539,3639
