epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,17.980428086544002,3.308284105262641,4.212539555666676,9.819034534824342,-0.6398920727221643,0.3311770979898555,3639
2,3.3717308419394563,3.3411836406627047,4.2020872251824954,9.609188446434883,-2.179619885827526,0.3344920034208444,3639
3,2.877555503335834,2.2516245269356077,2.8807863907784106,6.778590934168391,0.08469989490430412,0.6872154697667665,3639
4,2.5622578795656605,2.2254346075474674,2.830812853281513,6.622533378210867,-0.6056969693218754,0.6979732080048546,3639
5,2.3526587482729724,1.9659530920587944,2.540866310419124,5.891872093115543,-0.032296492326846,0.7566749720542556,3639
6,2.182505914294755,2.078294091514258,2.65290592322491,6.039527798170717,-1.0859603205694213,0.7347430016256631,3639
7,1.9848482110026329,2.406844636770879,2.9332316559871576,6.920815676582805,-1.8910683854394772,0.6757231999594988,3639
8,1.9204728047996318,1.7098376815808478,2.2233352239113366,5.04576516597011,-0.7902969859333673,0.8136913370733463,3639
9,1.870982817443259,1.6898882531241814,2.1997836035080556,4.971799931969775,-0.9864436299239386,0.8176175382770805,3639
10,1.7894639949416549,1.6946103084739272,2.1954018759884275,4.976910365540051,-0.6353253518922475,0.8183433863473698,3639
11,1.7281017991484804,1.6447842391711993,2.147314910073182,4.796145825580972,-1.0685932309328117,0.826214062355371,3639
12,1.6846612748477154,1.3834351788316661,1.8464220118596477,4.0766300956496195,-0.48622563921117823,0.8715053369566058,3639
13,1.6854868453405023,1.3493882782284328,1.768103843577821,4.095548777555817,0.24018444586468451,0.8821746635507923,3639
14,1.6563336997782088,1.3625731262475391,1.8124975893566424,4.08305743688012,-0.20780924802037443,0.8761836414191759,3639
15,1.6176587700490075,1.552768149065362,2.0259432331977996,4.56578168022522,-1.0102632784129304,0.8453044942485199,3639
16,1.5916939144318465,1.7334245297567437,2.166209428957977,5.076032612903825,-1.1945145578953091,0.8231422743317266,3639
17,1.5657450480701662,1.4739409046010612,1.9187998018964103,4.343612731610197,-0.8572240086760158,0.8612341877885475,3639
18,1.5631796896280803,1.4077078386072472,1.8583034409635115,4.178130323043734,-0.42215575867873295,0.8698463313178864,3639
19,1.5583307026755562,1.180201954224438,1.6213316238161526,3.559714824707305,0.1840496304337223,0.9009243661807556,3639
20,1.500433154028318,1.3196804663020525,1.7568823724057765,3.878580158320169,-0.664602954756529,0.8836655012737386,3639
21,1.4400872321086398,1.4393871534850184,1.8435664584647584,4.198288968078492,-0.9691355527839546,0.8719024722152748,3639
22,1.507536302334477,1.2253632489126047,1.6597406853756522,3.6885573305857613,0.16911762590819776,0.8961745954170927,3639
23,1.4506643030692987,1.3947832197172034,1.8460901302249406,4.103913973492354,-0.8472302099543962,0.8715515248659504,3639
24,1.440254498306297,1.1443906156660995,1.567692130210613,3.4712666860249826,0.14461666504476514,0.9073714835326798,3639
25,1.4522583976343761,1.7580518898121371,2.172016487954005,5.1131433789157645,-1.43441446340487,0.822192781796284,3639
26,1.458543979626381,1.1773042618556808,1.596790300861672,3.5225559698954045,-0.028962233067214013,0.9039009876981559,3639
27,1.4455715370107476,1.1866375801818125,1.6177416230937887,3.607629938650777,0.20733019531870583,0.9013626328639848,3639
28,1.4218911326957386,1.632768939176278,2.054642808889976,4.773989179778753,-1.1712098510817663,0.8408906076838794,3639
29,1.4332412113421749,1.579033759636812,2.006381262627177,4.618600274659245,-1.1658027326055005,0.8482774690444623,3639
30,1.4135524600478946,1.1964240182916945,1.6027354649544707,3.5857600943128087,-0.4079834177258841,0.9031840645386331,3639
31,1.3871650041387766,1.3234809735018527,1.744180778891453,3.8589499834968968,-0.7617835705016268,0.8853415294160548,3639
