epoch,train_loss,val_accuracy,val_macro_f1
1,0.8556751451644642,0.8889804891453696,0.8342780051671651
2,0.4315011100885064,0.9101401483924155,0.8709059027328758
3,0.32517256269461153,0.9090409453146469,0.878590992657897
4,0.28261897519762236,0.9087661445452048,0.8730827773836057
5,0.23717277960915445,0.9266281945589447,0.8943228100517355
6,0.21229405326140494,0.9167353668590272,0.8798248102321032
7,0.20228408966739322,0.9337730145644407,0.8950088332706362
8,0.18097359752683814,0.9343226161033251,0.8928979547933448
9,0.17128391746282134,0.9285517999450399,0.8922202859482572
10,0.16330198997169468,0.9260785930200605,0.8872559399459984
11,0.15446983784420573,0.9304754053311349,0.8999160424501554
12,0.13805757934590152,0.9381698268755152,0.9092188451177078
13,0.13640660606739824,0.9345974168727672,0.9080269906433631
14,0.13799021006278128,0.9354218191810937,0.8973475864650277
15,0.13291218325517862,0.9414674361088211,0.9122775315845744
16,0.12894278912103416,0.9362462214894202,0.9064861514617084
17,0.12828300107702237,0.9381698268755152,0.9071268778001017
18,0.12151072851214752,0.9400934322616104,0.9220822184298615
19,0.12385374618373136,0.9348722176422094,0.9184197027078171
20,0.10339983551794826,0.9280021984061555,0.9028419284563665
21,0.10027219528051434,0.9238801868645232,0.9185085598053584
22,0.10738658081230888,0.9351470184116516,0.9061139735455613
23,0.09128765500203206,0.9304754053311349,0.8992817996219599
24,0.1049906370146297,0.9326738114866722,0.9096750058913061
25,0.0967294419814665,0.9414674361088211,0.9146910906383809
26,0.09955508646487436,0.9255289914811762,0.8932827935563419
27,0.09043205320526518,0.9414674361088211,0.9122866576908745
28,0.08842246520646431,0.9389942291838417,0.9079008936948106
29,0.09067139581100458,0.9365210222588624,0.9051896940992645
30,0.08289984287434628,0.9417422368782633,0.9125856554378041
31,0.09080496683864153,0.9409178345699368,0.9232816908137395
32,0.08313257814790462,0.9461390491893378,0.9304822615726617
33,0.08397472960259322,0.9302006045616927,0.9103524721146515
34,0.08222760880427549,0.9433910414949161,0.9202957987217077
35,0.0826234906111992,0.9455894476504534,0.9260288000041311
36,0.08476683748007252,0.9395438307227261,0.9220901445346102
37,0.07780317887961366,0.9422918384171476,0.925246255565497
38,0.0788828443104808,0.9417422368782633,0.9126486607831842
39,0.07250471762122025,0.9491618576532014,0.9320209556211313
40,0.08343887025210868,0.9431162407254741,0.9275974862507059
41,0.07528581693014309,0.9269029953283869,0.9091857498122196
42,0.07525123110624655,0.9464138499587799,0.9118910743845765
43,0.0736902408354762,0.9433910414949161,0.9255496526429721
44,0.07635555611483968,0.9453146468810113,0.9268448026466064
45,0.07636476973663976,0.9466886507282221,0.9280212187105151
46,0.06585517744786268,0.9370706237977466,0.9246262798558874
47,0.061385937753468366,0.9337730145644407,0.9196886155837557
48,0.07334647608174005,0.9417422368782633,0.9069279024423432
49,0.0651157919094686,0.9400934322616104,0.9074422059614633
50,0.07451466884447419,0.9384446276449574,0.9157787029453736
51,0.06557666201038594,0.9414674361088211,0.9072367065644444
52,0.06762462774940135,0.9447650453421269,0.914869282932632
53,0.0688518841315357,0.9274525968672712,0.9050053529095754
54,0.07067073740353629,0.9411926353393789,0.9208437019957972
55,0.053813865103251694,0.9392690299532839,0.9138009520134495
56,0.06225812261249354,0.9469634514976641,0.9145954465232636
57,0.05766589079547969,0.95026106073097,0.9314386407889987
58,0.05993516510776292,0.9310250068700192,0.91500632195439
59,0.0584277662406724,0.9461390491893378,0.924103021827228
60,0.06049037600196635,0.9356966199505359,0.9005650044748704
