epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,1.7970168482415294,1.8293588040260929,2.374406146206594,5.3161957260213235,-0.8778145091158245,0.7875126072755152,3639
2,1.7598973725808154,1.665440402407016,2.1797640996111056,4.863580341526358,-0.5940007343171684,0.8209220380339974,3639
3,1.694073770835054,2.0344270809432508,2.5781020783608986,5.824062572143669,-1.4700450420248603,0.7494909788175824,3639
4,1.68221708132875,1.6165852595174925,2.114079166336223,4.700813649283911,-0.8721398853869122,0.8315520830313364,3639
5,1.6584606121020689,1.4789763846610988,1.9511414584472893,4.420689054419573,-0.13389534778600212,0.8565169280895222,3639
6,1.6586554088557077,1.5600608197762829,2.032192902084744,4.585786182509239,-0.6356148930754298,0.8443486067701315,3639
7,1.6260777871404881,1.515682131879177,2.003155422341887,4.460765489416336,-0.5368481196031102,0.8487649528633378,3639
8,1.6192132310796405,1.7224133290508088,2.2156474353104816,5.0402618432200414,-0.9348650112293617,0.8149775356751174,3639
9,1.5834710225739888,1.6383088450734515,2.151692726396165,4.778317019202493,-0.8024950402226544,0.825504731413239,3639
10,1.5782939214688694,1.8381552134086943,2.3150885026889307,5.317545929247441,-1.229068402832568,0.7979967539080004,3639
11,1.5521477885405814,1.7497159759236351,2.246253401768923,5.045799931615482,-1.1864639952078597,0.8098305949800297,3639
12,1.5547809373933585,1.6018355842080867,2.0659302778068525,4.698532809036237,-0.8583358587488823,0.8391376261504677,3639
13,1.5650981971322382,1.8013157662404504,2.312363403989498,5.173038994219199,-1.2262287506791187,0.7984720314598744,3639
14,1.557294541486577,1.7235986337978848,2.233630564170965,4.981821489564119,-1.1339716139518483,0.8119619064012693,3639
15,1.554328250530484,1.4977190993126357,1.9820084402384681,4.4657977591758335,-0.5468979563219071,0.8519412252082889,3639
16,1.5260581185383424,1.7652366802763828,2.2541865746811562,5.099640713459244,-1.275827813521949,0.8084849668846935,3639
17,1.5237154897260843,1.4927480728556148,1.9744003631056377,4.417245190255483,-0.6484028553366498,0.8530757114111965,3639
18,1.5152459672392522,1.830188846090201,2.3086666895046073,5.304226513733989,-1.3173002220503935,0.7991158713166142,3639
19,1.5035797453281161,1.7332238466997139,2.2000638139495794,5.0683756291316095,-1.1930923488121106,0.8175710712291628,3639
20,1.4941409607359024,1.56940585160262,2.0794310503892004,4.664699195642006,-0.7521112698321488,0.8370282979187355,3639
21,1.4856125273669076,1.6586007419344029,2.1290648095128497,4.817487681245213,-1.1572159753785287,0.8291555340606882,3639
22,1.5065034928375016,1.8040885474531818,2.28768478678512,5.2442981864645795,-1.2955738758444622,0.8027506774512971,3639
23,1.4928383187290462,1.5197679703626767,1.9627308012769737,4.417116035742381,-1.024611991196748,0.8548073513140405,3639
24,1.496498060270756,1.4657721072640122,1.9405444832958505,4.300521368774113,-0.7521386907860027,0.8580712567445996,3639
25,1.4750636309939247,1.4309365324149848,1.8745674546297297,4.225772054980846,-0.6661733562850009,0.8675581319968981,3639
26,1.4659364096737262,1.5728042526014496,2.0958885015211584,4.6304714307385115,-0.9520071694797853,0.8344384429435878,3639
27,1.4032161389141722,1.5463236200511374,1.9690954865024952,4.524806127490499,-0.9832460293896941,0.8538641717029538,3639
28,1.4308721705218672,1.4058258746410013,1.9194931098581953,4.191365016641627,-0.4133917862781295,0.8611338909015538,3639
29,1.4550671271675137,1.43840934143318,1.8789764431852267,4.217307435724857,-0.8461081475207818,0.8669343919581454,3639
30,1.4160841371047008,1.5314390639021818,2.0272416125592234,4.504789737340684,-0.8909759982728342,0.8451061492901749,3639
31,1.451087747896471,1.60370224116431,2.015407382330084,4.67399911405628,-1.064696362006137,0.8469092882669269,3639
32,1.3820226991043658,1.5056641849393078,2.039232972622853,4.469210333898621,-0.7681348695306864,0.8432683010018605,3639
33,1.433958452784882,1.5257326793329962,2.0284334762735625,4.476194306863918,-0.8981341702429008,0.844923964169174,3639
34,1.3940165197095906,2.1439334820115525,2.6344467857457055,6.203508088082786,-1.7695264111314708,0.7384215192294569,3639
35,1.390692300867414,1.504403413865356,2.0533632248643903,4.485734165685824,-0.6139990299997438,0.8410887252730594,3639
36,1.3905813981166117,1.637269613145963,2.099064865808497,4.756796528014718,-1.1785827006701421,0.8339362384504105,3639
37,1.3501883818757578,1.544093956754705,2.051801665269128,4.485654537053388,-0.9415958055463195,0.8413303338354613,3639
38,1.3633951199542191,1.599607688838815,2.0700662056500017,4.653777004154428,-1.0864823428639083,0.8384928985445441,3639
39,1.3252529044576737,1.6787284988399127,2.2681775192989737,4.969624949543623,-0.9981166764123324,0.8061002561104805,3639
