epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,1.9331659708767575,1.899283945052694,2.3719902490284595,5.547066855050283,-1.5126632209268367,0.7879447882098981,3639
2,1.9129710760258387,1.8139758590945636,2.2600036072545815,5.240894203304692,-1.48348307996112,0.8074952647667307,3639
3,1.85926863145651,2.2193997093005704,2.672313579498411,6.395250713087454,-1.885111894473888,0.7308477657828545,3639
4,1.8229867797801929,1.9592129570273589,2.366409328279114,5.725871091502547,-1.623849959450785,0.7889414795582195,3639
5,1.7984944074127311,1.467481562841656,1.937818678607721,4.3798377336685155,-0.785366019039044,0.8584696998894956,3639
6,1.8105292153181196,1.5636491049577588,2.0702419302637165,4.668481777626842,-0.8855400185035984,0.8384654772209775,3639
7,1.7477229103279823,1.8923637466661285,2.4130841258652644,5.526880486273833,-1.503045076588806,0.7805335809382359,3639
8,1.7417398267519075,2.2589433700968256,2.7041310989070704,6.539823313128311,-1.928084339142894,0.7244003652436829,3639
9,1.712697481134124,2.32231898358904,2.8108380770455317,6.747627049943512,-1.923785578388865,0.7022204918545376,3639
10,1.6968467188590521,2.228452785750869,2.7313834081512143,6.481333657169162,-1.8049442619371951,0.7188173717761759,3639
11,1.6648187227851838,2.379490898742424,2.852160411019177,7.041447737204887,-2.0694393159007265,0.6934007790966155,3639
12,1.6459617917865625,1.5274521879325629,1.9839229208647893,4.510775314406571,-1.0290782752355463,0.8516550583593061,3639
13,1.6603240064528795,1.9325441170210496,2.385285490098564,5.583497904248758,-1.6456506681429157,0.7855609449702956,3639
14,1.6408489746675172,2.0783487672693095,2.5503102670138063,6.052659821694553,-1.7429865936421862,0.7548628172515608,3639
15,1.636290193401748,1.4859884167215462,2.119508598929502,4.446827384974346,-0.8621726952007951,0.8306857474230475,3639
16,1.6115757650159106,2.010377532212608,2.4504083150961207,5.822739501997871,-1.6993153523075348,0.7736919163380367,3639
17,1.6162039782478022,1.8491736619346055,2.402486901823689,5.3939528737970655,-1.3114618844925685,0.7824569519270447,3639
18,1.5844772343298759,2.23436472002508,2.7097558455120145,6.61821330744468,-1.8726701062929174,0.7232526469692997,3639
19,1.556164885808101,2.04479693711279,2.5941107161173402,6.024257440473994,-1.6522664502283544,0.7463702652157758,3639
20,1.558807331744623,1.5586218476197196,2.266421515736652,4.744523211316971,-0.9556839977787497,0.8064003709263765,3639
21,1.5486720169343913,1.917864427621563,2.4539942507671006,5.624310139138284,-1.4964028521205213,0.7730290716848236,3639
22,1.5565378673014587,1.8362629443087661,2.362840332097587,5.468011436046769,-1.441707723250131,0.7895776324075304,3639
23,1.5287693769958384,1.505378183803574,1.9862080202068422,4.411159938077724,-1.0916014579863103,0.8513131316174078,3639
24,1.5269938880182996,1.7612337053198839,2.2803816261652043,5.228442464140842,-1.3399821981423239,0.8040080570618853,3639
25,1.5163951726651104,1.4527159326841097,1.9032321632102536,4.31421828966948,-0.9943882212857684,0.8634767278510251,3639
26,1.5051633184284083,1.859507123334423,2.516275450401316,5.484837250918001,-1.3923041764836155,0.7613620480756458,3639
27,1.4411787293657494,1.766606250415958,2.185023070123644,5.137396604503108,-1.338099563275762,0.8200568969033035,3639
28,1.4470857420818513,1.7901209160075406,2.472850406006659,5.211459233019962,-1.3471360941711576,0.7695276439595409,3639
29,1.4742912584964227,1.8346267463283639,2.269762739076072,5.37718773341895,-1.476661265961054,0.8058291299598409,3639
30,1.4293787460788032,1.7934002227657408,2.396830762978572,5.268324552621844,-1.2458714010558898,0.7834800628247058,3639
31,1.4564405496235673,1.782295989151609,2.24720075484516,5.250670432579866,-1.3931567503155244,0.8096701539885856,3639
32,1.383841663310962,1.7788767462151494,2.4559048658456786,5.308890739872283,-1.314557090962644,0.772675506965831,3639
33,1.4063607076286826,1.507442025700648,2.033499041997203,4.444826799631127,-1.0239118967583036,0.8441484605825782,3639
34,1.4004439988543995,2.049717966296182,2.569542993177873,5.991007966336135,-1.694984129936887,0.7511515561125538,3639
35,1.3788310497666822,1.6319090986553213,2.3486321660036347,4.85892645694438,-1.0222132594482556,0.7921006358196053,3639
36,1.383610491593088,1.691111036040161,2.221905058293118,4.971114828536531,-1.2710398783818744,0.8139309469560241,3639
37,1.3407752166450244,1.738328423202611,2.3812105529012184,5.070622511124799,-1.2288454097193262,0.786292999291772,3639
38,1.3415412213279412,2.159308378759994,2.608763263192838,6.362715095484378,-1.8714007319706945,0.7434969744027966,3639
39,1.320123129795032,1.809620042461784,2.5054999378067127,5.436872010500236,-1.2928454327563659,0.7634015230227205,3639
40,1.307217918807246,1.6575404143851025,2.2408920453637475,4.966112144593558,-1.1936289296434555,0.8107373040869648,3639
41,1.2986368974345324,1.7960756500529274,2.2014163811615077,5.227587832299726,-1.5129405218482377,0.8173466929776332,3639
42,1.2895120929608115,1.566097739110382,2.182045114905815,4.563969449859552,-1.0783879053923546,0.820547049477122,3639
43,1.29122185782429,2.0235383316002302,2.3746097263178623,5.851140629668174,-1.851472460460322,0.7874761686387731,3639
44,1.2627765096253178,1.88517495071734,2.2765510965713833,5.465626893304489,-1.6661547634358522,0.8046659490398816,3639
45,1.2921923799585675,1.487795869345585,1.9886450715164778,4.341314403470353,-1.045924065892072,0.850948034077164,3639
46,1.2710687241146557,1.7331171850805658,2.157253564736274,5.022025681650898,-1.4220925189859757,0.8246016341987042,3639
47,1.2423965687202254,1.7514495404089634,2.2387552764286727,5.195499190751996,-1.3912586658726227,0.8110980692029668,3639
48,1.24424552673744,1.7650459281164528,2.2463170961896797,5.139306957612306,-1.3586051974462985,0.8098198099975141,3639
49,1.2228641319009008,1.7065010086525008,2.124919001448821,5.016299498978679,-1.3726292159669378,0.8298202378840682,3639
50,1.2470026836076191,2.3783951686220726,2.777406145600944,6.82286011113828,-2.1353698829007235,0.7092619077683038,3639
